Label,File,Description,Height (mm),Infill %,Print Speed mm/s,Extruder Temp,Bed Temp,Wall Line Count,Thin Walls Enabled,Z-Hop Enabled,Z-Hop Height,Retraction Enabled,Retraction Distance,Toolchain,Filament,Paper,Printer,Human,Comments
2022-01-22 PLA 01,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,50,200,65,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,Some stringing and sharp braille tips
2022-01-22 PLA 02,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,75,200,65,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,Some smearing and stringing
2022-01-22 PLA 03,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,100,200,65,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,Decent
2022-01-22 PLA 04,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,100,200,65,2,Yes,Yes,1,Yes,1.0mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,Lots of stringing. Do not use this. 
2022-01-22 PLA 05,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,75,200,65,2,Yes,Yes,1,Yes,10.0mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,"Inconsistent braille size (may be affected by bed leveling), some are hard to feel due to smearing. "
2022-01-22 PLA 06,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,75,215,65,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,"Braille feels sharp, but adhesion is good. Had some fading at the right edge of the page. "
2022-01-22 PLA 07,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,75,230,65,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Duramic 3D PLA Plus,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,"Good adhesion, but some smearing"
2022-01-22 PETG 01,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,50,250,80,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Overture PETG,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,Some artifacts left over from the remnants of the PLA in the extruder. Overall good quality. 
2022-01-22 PETG 02,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,50,230,80,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Overture PETG,Canon Photo Paper Glossy (GP-701),Ender 3 pro,smithdtyler,"Best print so far. Had some fading close to the edge of the page, but adhesion is great.  A few strands hanging off of the braille"
2022-01-22 PETG 03,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,50,230,0,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Overture PETG,Neenah 90lb cardstock,Ender 3 pro,smithdtyler,Did not adhere to paper
2022-01-22 PETG 04,addition-braille.stl,Simple simulink model with braille annotations,0.2,50,50,230,50,2,Yes,Yes,1,Yes,6.5mm,bitmap-to-svg,Overture PETG,Neenah 90lb cardstock,Ender 3 pro,smithdtyler,Did not adhere to paper